300,13,c,d,e,f,g,h,i,j,k,l,m,n
-0.00497934,-0.00293833,0.029549661,0.015590311,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.004687267
-0.004687267,-0.00278106,0.028870764,0.015858246,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.004401813
-0.004401813,-0.002621269,0.028225355,0.016094775,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.004120928
-0.004120928,-0.002457505,0.028015359,0.016713406,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10.26666667,-0.003841255
-0.003841255,-0.002286935,0.027923374,0.017395591,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10.53333333,-0.003562383
-0.003562383,-0.002109693,0.027854655,0.018048085,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10.8,-0.003284092
-0.003284092,-0.001926068,0.027806966,0.018672322,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,11.06666667,-0.003006179
-0.003006179,-0.001736335,0.027778661,0.019270124,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,11.33333333,-0.002728457
-0.002728457,-0.00154075,0.027768541,0.019842828,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,11.6,-0.002450754
-0.002450754,-0.001339554,0.027774808,0.020392439,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,11.86666667,-0.002172909
-0.002172909,-0.001132975,0.027796468,0.020920068,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,12.13333333,-0.001894776
-0.001894776,-0.000921224,0.027832528,0.021426825,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,12.4,-0.001616217
-0.001616217,-0.000704501,0.027881338,0.021914559,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,12.66666667,-0.001337111
-0.001337111,-0.000482991,0.027941944,0.022384344,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,12.93333333,-0.001057342
-0.001057342,-0.000256871,0.02801357,0.022837059,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,13.2,-0.000776805
-0.000776805,-2.63039E-05,0.028095341,0.023273696,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,13.46666667,-0.000495404
-0.000495404,0.000208553,0.028186375,0.023695255,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,13.73333333,-0.000213049
-0.000213049,0.000447554,0.028285904,0.024102612,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,14,7.034E-05
7.034E-05,0.000690561,0.028393196,0.024496603,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,14.26666667,0.000354838
0.000354838,0.000937445,0.028507521,0.024878062,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,14.53333333,0.000640512
0.000640512,0.001188083,0.028628286,0.025247677,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,14.8,0.000927424
0.000927424,0.00144236,0.028754962,0.025606062,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,15.06666667,0.001215629
0.001215629,0.001700168,0.028887013,0.025953841,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,15.33333333,0.001505179
0.001505179,0.001961404,0.029023814,0.026291738,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,15.6,0.00179612
0.00179612,0.002225971,0.029165026,0.026620158,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,15.86666667,0.002088493
0.002088493,0.002493778,0.029310155,0.026939682,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,16.13333333,0.002382335
0.002382335,0.002764737,0.029458878,0.027250703,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,16.4,0.002677681
0.002677681,0.003038766,0.0296107,0.027553795,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,16.66666667,0.002974559
0.002974559,0.003315787,0.029765435,0.027849206,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,16.93333333,0.003272997
0.003272997,0.003595726,0.029922596,0.028137504,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,17.2,0.003573019
0.003573019,0.003878514,0.030081985,0.028418947,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,17.46666667,0.003874643
0.003874643,0.004164084,0.030243279,0.028693921,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,17.73333333,0.00417789
0.00417789,0.004452372,0.030406235,0.028962735,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,18,0.004482773
0.004482773,0.004743319,0.030570624,0.029225675,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,18.26666667,0.004789306
0.004789306,0.005036867,0.030736207,0.029483044,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,18.53333333,0.0050975
0.0050975,0.005332962,0.030902823,0.029735055,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,18.8,0.005407365
0.005407365,0.005631551,0.031070226,0.029982011,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,19.06666667,0.005718907
0.005718907,0.005932586,0.031238301,0.03022408,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,19.33333333,0.006032133
0.006032133,0.006236017,0.031406833,0.030461535,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,19.6,0.006347045
0.006347045,0.006541801,0.031575709,0.030694533,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,19.86666667,0.006663647
0.006663647,0.006849894,0.031744766,0.030923294,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,20.13333333,0.006981941
0.006981941,0.007160254,0.031913894,0.031147973,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,20.4,0.007301925
0.007301925,0.00747284,0.03208296,0.031368753,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,20.66666667,0.007623599
0.007623599,0.007787616,0.032251875,0.031585769,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,20.93333333,0.007946962
0.007946962,0.008104544,0.032420504,0.031799203,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,21.2,0.008272008
0.008272008,0.008423588,0.032588806,0.032009137,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,21.46666667,0.008598736
0.008598736,0.008744716,0.032756666,0.032215735,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,21.73333333,0.00892714
0.00892714,0.009067893,0.03292398,0.032419143,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,22,0.009257214
0.009257214,0.009393088,0.033090757,0.032619387,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,22.26666667,0.009588953
0.009588953,0.00972027,0.033256844,0.032816673,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,22.53333333,0.009922349
0.009922349,0.010049412,0.033422219,0.033011057,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,22.8,0.010257395
0.010257395,0.010380482,0.033586858,0.033202601,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,23.06666667,0.010594083
0.010594083,0.010713455,0.033750638,0.033391474,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,23.33333333,0.010932405
0.010932405,0.011048303,0.033913573,0.033577694,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,23.6,0.011272351
0.011272351,0.011385,0.034075606,0.033761359,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,23.86666667,0.011613914
0.011613914,0.011723522,0.034236675,0.03394257,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,24.13333333,0.011957082
0.011957082,0.012063843,0.034396786,0.034121353,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,24.4,0.012301846
0.012301846,0.012405941,0.034555874,0.034297812,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,24.66666667,0.012648196
0.012648196,0.012749792,0.034713924,0.034471998,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,24.93333333,0.012996121
0.012996121,0.013095374,0.034870928,0.034643952,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,25.2,0.01334561
0.01334561,0.013442664,0.035026819,0.034813777,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,25.46666667,0.013696654
0.013696654,0.013791642,0.035181615,0.034981489,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,25.73333333,0.014049239
0.014049239,0.014142287,0.035335315,0.035147119,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,26,0.014403356
0.014403356,0.014494578,0.035487852,0.035310772,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,26.26666667,0.014758992
0.014758992,0.014848496,0.035639219,0.035472487,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,26.53333333,0.015116137
0.015116137,0.015204021,0.035789466,0.035632241,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,26.8,0.015474778
0.015474778,0.015561134,0.035938539,0.035790122,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,27.06666667,0.015834903
0.015834903,0.015919818,0.036086384,0.03594622,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,27.33333333,0.016196502
0.016196502,0.016280053,0.03623307,0.036100491,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,27.6,0.016559561
0.016559561,0.016641821,0.036378588,0.036252974,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,27.86666667,0.016924069
0.016924069,0.017005107,0.036522866,0.036403776,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,28.13333333,0.017290014
0.017290014,0.017369891,0.036665943,0.036552886,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,28.4,0.017657384
0.017657384,0.017736159,0.036807845,0.036700305,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,28.66666667,0.018026167
0.018026167,0.018103892,0.036948527,0.036846109,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,28.93333333,0.018396351
0.018396351,0.018473076,0.037087985,0.03699033,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,29.2,0.018767923
0.018767923,0.018843693,0.037226255,0.037132957,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,29.46666667,0.019140872
